,,,,,Group Mean and SE,,,,,,,Welch t-test,,,,,GLM Results - dfifference in log-abundance,,,
description,,Overall Mean,Overall SE,,Tumor Mean,Tumor SE,Tumor Ng,Non-Tumor Mean,Non-Tumor SE,Non-Tumor Ng,,t,df,p,fdr p-value,,Est,SE,p,fdr p-value
lepB; signal peptidase I [EC:3.4.21.89],,0.112068841,0.000191785,,0.111989708,1.6529E-05,65,0.112124149,8.81231E-06,93,,-0.026706487,125.5986702,0.489368113,0.498287395,,-0.001199755,0.043859852,0.978212115,0.999383253
"trkA, ktrA; trk system potassium uptake protein",,0.111400727,0.000287994,,0.115760237,3.30444E-05,65,0.108353757,2.16819E-05,93,,1.00118449,135.0832251,0.159263845,0.386880433,,0.066119729,0.065686685,0.315689381,0.977977109
"E4.3.1.17, sdaA, sdaB, tdcG; L-serine dehydratase [EC:4.3.1.17]",,0.110835088,0.000216348,,0.112173897,1.98585E-05,65,0.109899362,1.17626E-05,93,,0.404486333,130.435952,0.343258814,0.45792227,,0.020485258,0.049888009,0.681911062,0.999383253
ABC.PE.A1; peptide/nickel transport system ATP-binding protein,,0.108206059,0.000545735,,0.113636411,0.000163617,65,0.104410652,5.64963E-05,93,,0.62184062,106.9573334,0.267684967,0.431234356,,0.084672272,0.127382828,0.507219244,0.981594658
trxA; thioredoxin 1,,0.108016082,0.000168386,,0.109241889,1.29618E-05,65,0.107159335,6.66678E-06,93,,0.470058521,123.9548649,0.319569582,0.449358127,,0.019247753,0.039824829,0.629553016,0.999383253
gph; phosphoglycolate phosphatase [EC:3.1.3.18],,0.107263734,0.000235905,,0.103776919,2.56177E-05,65,0.109700756,1.28803E-05,93,,-0.954736946,122.9195794,0.170792286,0.392793649,,-0.055512668,0.056630122,0.328471883,0.977977109
"cspA; cold shock protein (beta-ribbon, CspA family)",,0.1071696,0.00034736,,0.107813261,4.54782E-05,65,0.106719729,3.31544E-05,93,,0.123319074,139.6845372,0.45101585,0.488206347,,0.01019462,0.082986236,0.902386284,0.999383253
"oppA, mppA; oligopeptide transport system substrate-binding protein",,0.106687857,0.000538749,,0.102249964,8.74884E-05,65,0.10978961,9.01669E-05,93,,-0.565668359,151.7612444,0.286227322,0.436555351,,-0.071145455,0.129832617,0.584490061,0.999383253
"PRPS, prsA; ribose-phosphate pyrophosphokinase [EC:2.7.6.1]",,0.105101687,0.000218243,,0.108242717,1.91202E-05,65,0.102906343,1.23947E-05,93,,0.950579609,134.5402647,0.171761162,0.392985387,,0.050556794,0.052828725,0.340050813,0.977977109
"parA, soj; chromosome partitioning protein",,0.104914188,0.000286777,,0.100552888,2.90381E-05,65,0.107962409,2.33092E-05,93,,-1.024102402,143.6123114,0.153754425,0.386880433,,-0.07109927,0.070258843,0.313123287,0.977977109
"yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase",,0.104577249,0.000220383,,0.106862487,1.91783E-05,65,0.10298004,1.28563E-05,93,,0.685955049,136.0387509,0.24695442,0.424194366,,0.037007652,0.053753234,0.492177503,0.981503382
"purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]",,0.104078425,0.000215866,,0.105114096,2.19863E-05,65,0.103354568,1.0642E-05,93,,0.308034057,121.1972311,0.379292592,0.468594154,,0.016880908,0.053016362,0.750600279,0.999383253
"pbuG; putative MFS transporter, AGZA family, xanthine/uracil permease",,0.10357768,0.000247214,,0.113591334,3.28803E-05,65,0.096578889,1.07146E-05,93,,2.57661171,104.7676281,0.005684929,0.295477086,,0.162247039,0.058364255,0.006106802,0.840365052
murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7],,0.103328587,0.00020061,,0.105128794,1.61544E-05,65,0.102070378,1.0539E-05,93,,0.591962039,134.8262681,0.27743368,0.434130077,,0.029523652,0.04956448,0.552264597,0.992327983
"fusA, GFM, EFG; elongation factor G",,0.103247904,0.000206932,,0.10663754,1.63716E-05,65,0.100878803,1.15071E-05,93,,1.090662854,138.1181084,0.138660164,0.386880433,,0.055515782,0.05095559,0.277616467,0.977977109
"iscS, NFS1; cysteine desulfurase [EC:2.8.1.7]",,0.103138652,0.000246072,,0.10430467,2.35923E-05,65,0.102323693,1.62492E-05,93,,0.313842587,137.2330761,0.377058577,0.468322913,,0.019174886,0.061019549,0.753757333,0.999383253
"ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family",,0.103124411,0.000212565,,0.101176048,2.06752E-05,65,0.10448617,1.05964E-05,93,,-0.59192813,123.7926595,0.277489116,0.434130077,,-0.03219267,0.052986565,0.544360822,0.990441817
dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7],,0.102723499,0.000118814,,0.099938251,4.39548E-06,65,0.104670177,4.22937E-06,93,,-1.611247073,149.8825444,0.054614879,0.386880433,,-0.046261731,0.029493332,0.118779278,0.918372247
"ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]",,0.102470484,0.000355148,,0.096632838,3.96189E-05,65,0.106550558,3.80749E-05,93,,-1.125171032,149.8461669,0.131157785,0.386880433,,-0.097700974,0.089118284,0.274634087,0.977977109
tatD; TatD DNase family protein [EC:3.1.21.-],,0.10226415,8.56131E-05,,0.104443439,2.14395E-06,65,0.100740991,2.25386E-06,93,,1.76551359,152.2451175,0.039741086,0.380121929,,0.03609289,0.021231521,0.091129993,0.886385863
ABC.PE.P1; peptide/nickel transport system permease protein,,0.099813394,0.000479509,,0.102682299,0.000121012,65,0.097808245,4.63833E-05,93,,0.376720382,111.1089681,0.353549947,0.460021406,,0.048630861,0.122146958,0.69107572,0.999383253
ABC.PE.P; peptide/nickel transport system permease protein,,0.098771459,0.000481933,,0.101735154,0.000120821,65,0.096700059,4.75365E-05,93,,0.388053915,112.1873246,0.349355744,0.459310225,,0.050758898,0.124039707,0.682943234,0.999383253
"tuf, TUFM; elongation factor Tu",,0.098629455,0.000132566,,0.100490442,5.33397E-06,65,0.097328766,5.4121E-06,93,,0.964478385,151.361371,0.168172269,0.391270089,,0.031968024,0.034306255,0.352857864,0.977977109
map; methionyl aminopeptidase [EC:3.4.11.18],,0.098557045,0.000110956,,0.097530889,4.08746E-06,65,0.099274251,3.63864E-06,93,,-0.627202422,147.4030828,0.265748433,0.430884032,,-0.017717096,0.02884735,0.539999488,0.990441817
folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17],,0.097999307,0.000201855,,0.09999728,1.47424E-05,65,0.096602874,1.14453E-05,93,,0.663308029,142.2880381,0.254103252,0.424988378,,0.0345345,0.052587654,0.512339121,0.982566839
ABC.SS.P; simple sugar transport system permease protein,,0.097483442,0.000329313,,0.098051308,4.59007E-05,65,0.097086547,2.73561E-05,93,,0.112718612,130.7189378,0.455213281,0.48832186,,0.009888071,0.086473527,0.909109005,0.999383253
aroE; shikimate dehydrogenase [EC:1.1.1.25],,0.097371452,0.000230531,,0.102267647,3.16473E-05,65,0.09394938,8.648E-06,93,,1.310405754,98.63298124,0.096550966,0.386880433,,0.084837238,0.059356402,0.154921674,0.955518016
uvrA; excinuclease ABC subunit A,,0.097182665,0.000129865,,0.097215523,6.25507E-06,65,0.097159699,4.6842E-06,93,,0.016878131,140.8120449,0.493278865,0.498727453,,0.000574391,0.034241842,0.986637921,0.999383253
"E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]",,0.096988124,0.000126732,,0.099008727,6.68735E-06,65,0.095575875,4.0531E-06,93,,1.047475784,131.4880768,0.148400917,0.386880433,,0.03528757,0.033250398,0.290208547,0.977977109
"E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit [EC:2.2.1.6]",,0.096414112,0.000152271,,0.096390632,8.5549E-06,65,0.096430524,6.46186E-06,93,,-0.010294325,141.1687015,0.495900498,0.499417565,,-0.000413772,0.040473093,0.99185612,0.999383253
"TC.AGCS; alanine or glycine:cation symporter, AGCS family",,0.096399919,0.000374191,,0.107698805,8.61984E-05,65,0.088502848,2.0582E-05,93,,1.85765032,94.46538326,0.033166871,0.367253296,,0.196303748,0.094939924,0.040323275,0.840365052
K08303; putative protease [EC:3.4.-.-],,0.096354431,0.000264836,,0.099006019,3.01276E-05,65,0.09450117,1.739E-05,93,,0.653511045,129.2495835,0.257293897,0.426286942,,0.046568436,0.070006897,0.506906218,0.981594658
"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]",,0.095646155,0.000114234,,0.095955528,4.16998E-06,65,0.095429926,3.94901E-06,93,,0.184461484,149.4040366,0.426950792,0.479318511,,0.005492613,0.030594054,0.857752938,0.999383253
rpoD; RNA polymerase primary sigma factor,,0.095435187,0.00021277,,0.096773922,1.58201E-05,65,0.094499512,1.30228E-05,93,,0.423495703,144.5810073,0.33628148,0.456007794,,0.023782891,0.057014478,0.677151131,0.999383253
hupB; DNA-binding protein HU-beta,,0.095308401,0.000194273,,0.093982561,9.96605E-06,65,0.096235064,1.24206E-05,93,,-0.476069382,155.2176614,0.317347175,0.448573902,,-0.023684535,0.052235601,0.650878219,0.999383253
"hsdS; type I restriction enzyme, S subunit [EC:3.1.21.3]",,0.09522638,0.000336302,,0.0942822,3.67865E-05,65,0.095886291,3.39111E-05,93,,-0.190777247,148.5596653,0.424480291,0.478558508,,-0.016870606,0.090580594,0.852490949,0.999383253
"DLD, lpd, pdhD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]",,0.095098102,0.000205993,,0.089931803,1.72913E-05,65,0.098708956,1.06861E-05,93,,-1.659394074,132.3769649,0.049701863,0.385143577,,-0.093124045,0.055661344,0.096322219,0.897477033
secA; preprotein translocase subunit SecA,,0.095045902,0.000165498,,0.094407883,9.08603E-06,65,0.095491829,8.12378E-06,93,,-0.261288214,147.5515187,0.397117304,0.473914058,,-0.011416111,0.044642724,0.798502648,0.999383253
tonB; periplasmic protein TonB,,0.094874085,0.00045255,,0.094297239,8.34789E-05,65,0.095277257,5.32233E-05,93,,-0.083819744,133.7909488,0.466662518,0.492139411,,-0.010339224,0.122360322,0.93276869,0.999383253
plsC; 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51],,0.094248015,0.000128908,,0.093315576,8.11545E-06,65,0.09489972,3.65505E-06,93,,-0.461739589,117.9825324,0.322559159,0.451543357,,-0.01683371,0.035110253,0.632287967,0.999383253
"parB, spo0J; chromosome partitioning protein, ParB family",,0.093568454,0.000234129,,0.089172874,2.1323E-05,65,0.096640633,1.44935E-05,93,,-1.247809467,136.6521444,0.107117411,0.386880433,,-0.080422385,0.064373191,0.213421183,0.977977109
K07729; putative transcriptional regulator,,0.093439451,0.000471215,,0.08893249,7.03745E-05,65,0.096589477,6.72352E-05,93,,-0.652729757,149.6707574,0.257465915,0.426286942,,-0.082592259,0.129823836,0.525586728,0.989176236
"GST, gst; glutathione S-transferase [EC:2.5.1.18]",,0.092341418,0.000684801,,0.082800645,0.000174286,65,0.099009701,0.000128905,93,,-0.93089354,140.2931653,0.176753872,0.396152573,,-0.178781972,0.19376943,0.3576128,0.977977109
clsA_B; cardiolipin synthase A/B [EC:2.7.8.-],,0.092116436,0.000182421,,0.094303974,1.40781E-05,65,0.090587512,8.33714E-06,93,,0.784979006,130.4273327,0.216944702,0.414485001,,0.040206962,0.050444139,0.426628133,0.977977109
secY; preprotein translocase subunit SecY,,0.091670435,0.000180303,,0.091891067,1.02281E-05,65,0.09151623,9.9182E-06,93,,0.083511409,150.1100389,0.466778085,0.492139411,,0.004087493,0.05039086,0.935453866,0.999383253
"trkH, trkG, ktrB; trk system potassium uptake protein",,0.091521079,0.000270237,,0.097167028,3.12248E-05,65,0.087574986,1.78597E-05,93,,1.369111468,128.8302605,0.08667332,0.386880433,,0.103936027,0.074520254,0.165078507,0.960935026
"guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]",,0.091287301,0.000117493,,0.09151913,4.31201E-06,65,0.091125271,4.22638E-06,93,,0.134788428,150.4176976,0.446479675,0.485793486,,0.004312856,0.032973312,0.896103314,0.999383253
"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33",,0.091141207,0.000177935,,0.093364326,1.47989E-05,65,0.089587414,7.24406E-06,93,,0.804455141,121.7046213,0.211351405,0.41172741,,0.041294478,0.049667926,0.407012066,0.977977109
ybgC; acyl-CoA thioester hydrolase [EC:3.1.2.-],,0.090720908,0.000273991,,0.084064056,2.82747E-05,65,0.095373547,2.00694E-05,93,,-1.6265641,138.5422718,0.053051062,0.386880433,,-0.126222174,0.077884748,0.107117131,0.914047916
"crcB, FEX; fluoride exporter",,0.090422607,0.000232303,,0.087704426,2.33452E-05,65,0.092322412,1.32742E-05,93,,-0.763126686,128.5588901,0.223392968,0.416968372,,-0.051314559,0.066132996,0.438965219,0.977977109
"KAE1, tsaD, QRI7; N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]",,0.090369877,0.000166401,,0.093478467,1.10472E-05,65,0.088197206,7.18797E-06,93,,1.236751961,134.7068017,0.109165516,0.386880433,,0.058155821,0.046727735,0.215157315,0.977977109
"E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]",,0.090010498,0.000391368,,0.08122168,4.08347E-05,65,0.09615322,4.93128E-05,93,,-1.572634725,154.8321102,0.058922331,0.386880433,,-0.168760749,0.111857801,0.133396073,0.943005055
"E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase [EC:2.7.7.41]",,0.089656388,0.000105507,,0.092924141,5.85271E-06,65,0.087372474,2.1158E-06,93,,1.966685765,108.7501426,0.025883612,0.344009615,,0.061603188,0.029463716,0.038165873,0.840365052
pstB; phosphate transport system ATP-binding protein [EC:3.6.3.27],,0.089650025,0.000276293,,0.087716664,2.98036E-05,65,0.091001299,2.04301E-05,93,,-0.463435685,137.0247748,0.32189369,0.451071685,,-0.036761883,0.079210059,0.64321862,0.999383253
relA; GTP pyrophosphokinase [EC:2.7.6.5],,0.089200265,0.000169312,,0.092045479,1.09415E-05,65,0.087211675,7.70722E-06,93,,1.119345317,138.2121949,0.13246718,0.386880433,,0.05394458,0.048253277,0.26530852,0.977977109
pepP; Xaa-Pro aminopeptidase [EC:3.4.11.9],,0.089160522,0.000151502,,0.091310459,9.53005E-06,65,0.087657879,5.8211E-06,93,,0.932243197,131.8432414,0.17645744,0.395969742,,0.040823838,0.043252365,0.346704692,0.977977109
"argR, ahrC; transcriptional regulator of arginine metabolism",,0.089109598,0.000361044,,0.091176861,4.96382E-05,65,0.087664737,3.55227E-05,93,,0.380583347,138.8941712,0.352046934,0.460021406,,0.039281414,0.103471159,0.704731671,0.999383253
ddl; D-alanine-D-alanine ligase [EC:6.3.2.4],,0.088665087,0.000118074,,0.089042534,4.29103E-06,65,0.088401279,4.29813E-06,93,,0.218804113,151.0190198,0.413549032,0.477532267,,0.007227729,0.034109321,0.832462472,0.999383253
"clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]",,0.087360332,0.000148837,,0.088109005,9.06152E-06,65,0.086837066,5.73463E-06,93,,0.330667762,133.4554483,0.370707015,0.46524747,,0.01454118,0.043581982,0.739090843,0.999383253
dnaQ; DNA polymerase III subunit epsilon [EC:2.7.7.7],,0.087209759,0.000153501,,0.085891398,9.44442E-06,65,0.088131194,6.17912E-06,93,,-0.566654955,134.9545508,0.285944921,0.436515873,,-0.025742858,0.045176429,0.569613092,0.994884231
rdgB; XTP/dITP diphosphohydrolase [EC:3.6.1.66],,0.086970588,0.000185756,,0.086074143,1.37033E-05,65,0.087597136,9.13318E-06,93,,-0.318700659,135.7818559,0.375221614,0.467325178,,-0.017539245,0.05480871,0.749390201,0.999383253
alr; alanine racemase [EC:5.1.1.1],,0.086622257,0.000129561,,0.090788158,7.11209E-06,65,0.083710605,4.00741E-06,93,,2.122464376,128.1411441,0.017861425,0.312056288,,0.081163183,0.037476813,0.031853945,0.840365052
metI; D-methionine transport system permease protein,,0.086603197,0.000154127,,0.090193731,8.6404E-06,65,0.084093684,6.5143E-06,93,,1.566965831,141.0917245,0.059681379,0.386880433,,0.07002846,0.045059478,0.122178897,0.920320651
dnaJ; molecular chaperone DnaJ,,0.086269958,0.000124018,,0.08751333,5.98139E-06,65,0.085400934,4.11737E-06,93,,0.66472387,137.2084594,0.253671395,0.424988378,,0.024434086,0.0367108,0.506660569,0.981594658
fabH; 3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180],,0.086245296,0.000153516,,0.088763426,1.13259E-05,65,0.084485312,5.20708E-06,93,,1.052147652,118.8934918,0.147432765,0.386880433,,0.049397003,0.045154221,0.275657931,0.977977109
"URA4, pyrC; dihydroorotase [EC:3.5.2.3]",,0.086061285,9.03093E-05,,0.085275741,2.61577E-06,65,0.086610321,2.45623E-06,93,,-0.592590324,149.1427613,0.277176383,0.434130077,,-0.015528966,0.026885731,0.564372751,0.994215447
aspS; aspartyl-tRNA synthetase [EC:6.1.1.12],,0.085947266,0.000151234,,0.088108451,8.25993E-06,65,0.084436761,6.40079E-06,93,,0.958933336,142.2135729,0.169609887,0.392164404,,0.042565593,0.044836329,0.3439085,0.977977109
gyrA; DNA gyrase subunit A [EC:5.99.1.3],,0.08512487,0.000136215,,0.087087019,7.20436E-06,65,0.083753476,4.94703E-06,93,,0.956297882,137.1004876,0.170302487,0.392456049,,0.039030165,0.040757103,0.339731853,0.977977109
gyrB; DNA gyrase subunit B [EC:5.99.1.3],,0.085023001,0.000147146,,0.08697081,8.12038E-06,65,0.083661629,5.92119E-06,93,,0.883105916,139.6937516,0.189348132,0.399257859,,0.038792112,0.044113646,0.380554543,0.977977109
"carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]",,0.084825966,0.000175642,,0.085732347,1.42604E-05,65,0.084192473,7.1878E-06,93,,0.332498286,123.0324041,0.37003944,0.464928717,,0.018124679,0.052922071,0.73245172,0.999383253
